
		=====| REDE NEURAL ARTIFICIAL EVOLUTIVA |=====

	OBJETIVO: Aprendizado da Funcao Logica P E Q.

	Licoes:
	 LICAO    P    Q  (Resultado Esperado)
	+------+----+----+---------------------+
	(1) - 0   0   0
	(2) - 0   1   0
	(3) - 1   0   0
	(4) - 1   1   1


	Learning Rate: 0.20
	Sinapse Threshold: 0.60
	Populacao MAXIMA: 300.
	3 MUTACOES a cada sequencia de 5 GERACOES.
	TOTAL de GERACOES: 10.




	INICIO DO TREINAMENTO: Dia: 8   Mes: 5   Ano: 2024

Dia da Semana: 3.
14:4:7.


	 TABELA DE INDIVIDUOS:
| 	(1) 	| numero = 1 	| endr = 0067FE80 	| err = 0 	| 1 -> 2 	| genes = 0.46,0.45,0.59,0.04,0.88,0.72,	|
| 	(1) 	| numero = 573 	| endr = 0067FE80 	| err = 1 	| 573 -> 578 	| genes = 0.39,0.84,0.75,0.34,0.78,0.43,	|
| 	(1) 	| numero = 578 	| endr = 0067FE80 	| err = 1 	| 578 -> 581 	| genes = 0.85,0.57,0.10,0.34,0.78,0.43,	|
| 	(1) 	| numero = 581 	| endr = 0067FE80 	| err = 1 	| 581 -> 586 	| genes = 0.85,0.57,0.10,0.17,0.97,0.71,	|
| 	(1) 	| numero = 586 	| endr = 0067FE80 	| err = 1 	| 586 -> 589 	| genes = 0.48,0.21,0.67,0.17,0.97,0.71,	|
| 	(1) 	| numero = 589 	| endr = 0067FE80 	| err = 1 	| 589 -> 594 	| genes = 0.48,0.21,0.67,0.27,0.01,0.34,	|
| 	(1) 	| numero = 594 	| endr = 0067FE80 	| err = 1 	| 594 -> 601 	| genes = 0.26,0.53,0.46,0.27,0.01,0.34,	|
| 	(1) 	| numero = 601 	| endr = 0067FE80 	| err = 1 	| 601 -> 602 	| genes = 0.61,0.63,0.98,0.34,0.05,0.70,	|
| 	(1) 	| numero = 602 	| endr = 0067FE80 	| err = 1 	| 602 -> 605 	| genes = 0.40,0.72,0.13,0.59,0.91,0.32,	|
| 	(1) 	| numero = 605 	| endr = 0067FE80 	| err = 1 	| 605 -> 606 	| genes = 0.40,0.72,0.13,0.98,0.34,0.63,	|
| 	(1) 	| numero = 606 	| endr = 0067FE80 	| err = 1 	| 606 -> 609 	| genes = 0.96,1.00,0.82,0.34,0.05,0.70,	|
| 	(1) 	| numero = 609 	| endr = 0067FE80 	| err = 1 	| 609 -> 610 	| genes = 0.96,1.00,0.82,0.38,0.38,0.54,	|
| 	(1) 	| numero = 610 	| endr = 0067FE80 	| err = 1 	| 610 -> 613 	| genes = 0.38,0.08,1.00,0.98,0.34,0.63,	|
| 	(1) 	| numero = 613 	| endr = 0067FE80 	| err = 1 	| 613 -> 614 	| genes = 0.38,0.08,1.00,0.94,0.61,0.00,	|
| 	(1) 	| numero = 614 	| endr = 0067FE80 	| err = 1 	| 614 -> 617 	| genes = 0.17,0.64,0.11,0.38,0.38,0.54,	|
| 	(1) 	| numero = 617 	| endr = 0067FE80 	| err = 1 	| 617 -> 618 	| genes = 0.17,0.64,0.11,0.23,0.07,0.70,	|
| 	(1) 	| numero = 618 	| endr = 0067FE80 	| err = 1 	| 618 -> 625 	| genes = 0.96,0.26,0.12,0.94,0.61,0.00,	|
| 	(1) 	| numero = 625 	| endr = 0067FE80 	| err = 1 	| 625 -> 626 	| genes = 0.99,0.50,0.08,0.10,0.65,0.38,	|
| 	(1) 	| numero = 626 	| endr = 0067FE80 	| err = 1 	| 626 -> 629 	| genes = 0.40,0.24,0.79,0.47,0.19,0.49,	|
| 	(1) 	| numero = 629 	| endr = 0067FE80 	| err = 1 	| 629 -> 634 	| genes = 0.40,0.24,0.79,0.67,0.69,0.68,	|
| 	(1) 	| numero = 634 	| endr = 0067FE80 	| err = 1 	| 634 -> 637 	| genes = 0.35,0.98,0.15,0.67,0.69,0.68,	|
| 	(1) 	| numero = 637 	| endr = 0067FE80 	| err = 1 	| 637 -> 638 	| genes = 0.35,0.98,0.15,0.24,0.06,0.92,	|
| 	(1) 	| numero = 638 	| endr = 0067FE80 	| err = 1 	| 638 -> 641 	| genes = 0.91,0.15,0.45,0.75,0.15,0.82,	|
| 	(1) 	| numero = 641 	| endr = 0067FE80 	| err = 1 	| 641 -> 642 	| genes = 0.91,0.15,0.45,1.00,0.24,0.90,	|
| 	(1) 	| numero = 642 	| endr = 0067FE80 	| err = 1 	| 642 -> 645 	| genes = 0.35,0.39,0.15,0.24,0.06,0.92,	|
| 	(1) 	| numero = 645 	| endr = 0067FE80 	| err = 1 	| 645 -> 646 	| genes = 0.35,0.39,0.15,0.83,0.23,0.44,	|
| 	(1) 	| numero = 646 	| endr = 0067FE80 	| err = 1 	| 646 -> 649 	| genes = 0.98,0.47,0.21,1.00,0.24,0.90,	|
| 	(1) 	| numero = 649 	| endr = 0067FE80 	| err = 1 	| 649 -> 654 	| genes = 0.98,0.47,0.21,0.14,0.97,0.97,	|
| 	(1) 	| numero = 654 	| endr = 0067FE80 	| err = 1 	| 654 -> 657 	| genes = 0.59,0.20,0.01,0.14,0.97,0.97,	|
| 	(1) 	| numero = 657 	| endr = 0067FE80 	| err = 1 	| 657 -> 658 	| genes = 0.59,0.20,0.01,0.13,0.97,0.88,	|
| 	(1) 	| numero = 658 	| endr = 0067FE80 	| err = 1 	| 658 -> 661 	| genes = 0.82,0.89,0.24,0.48,0.98,0.45,	|
| 	(1) 	| numero = 661 	| endr = 0067FE80 	| err = 1 	| 661 -> 662 	| genes = 0.82,0.89,0.24,0.63,0.87,0.13,	|
| 	(1) 	| numero = 662 	| endr = 0067FE80 	| err = 1 	| 662 -> 665 	| genes = 0.11,0.32,0.17,0.13,0.97,0.88,	|
| 	(1) 	| numero = 665 	| endr = 0067FE80 	| err = 1 	| 665 -> 666 	| genes = 0.11,0.32,0.17,0.43,0.07,0.10,	|
| 	(1) 	| numero = 666 	| endr = 0067FE80 	| err = 1 	| 666 -> 669 	| genes = 0.24,0.59,0.82,0.63,0.87,0.13,	|
| 	(1) 	| numero = 669 	| endr = 0067FE80 	| err = 1 	| 669 -> 670 	| genes = 0.24,0.59,0.82,0.06,0.86,0.63,	|
| 	(1) 	| numero = 670 	| endr = 0067FE80 	| err = 1 	| 670 -> 673 	| genes = 0.06,0.97,0.42,0.43,0.07,0.10,	|
| 	(1) 	| numero = 673 	| endr = 0067FE80 	| err = 1 	| 673 -> 677 	| genes = 0.06,0.97,0.42,0.10,0.49,0.90,	|
| 	(1) 	| numero = 677 	| endr = 0067FE80 	| err = 1 	| 677 -> 678 	| genes = 0.87,0.85,0.12,0.57,0.97,0.50,	|
| 	(1) 	| numero = 678 	| endr = 0067FE80 	| err = 1 	| 678 -> 686 	| genes = 0.13,0.34,0.56,0.10,0.49,0.90,	|
| 	(1) 	| numero = 686 	| endr = 0067FE80 	| err = 1 	| 686 -> 689 	| genes = 0.08,0.44,0.52,0.00,0.68,0.15,	|
| 	(1) 	| numero = 689 	| endr = 0067FE80 	| err = 1 	| 689 -> 693 	| genes = 0.08,0.44,0.52,0.67,0.70,0.81,	|
| 	(1) 	| numero = 693 	| endr = 0067FE80 	| err = 1 	| 693 -> 698 	| genes = 0.29,0.60,0.44,0.18,0.57,0.66,	|
| 	(1) 	| numero = 698 	| endr = 0067FE80 	| err = 1 	| 698 -> 701 	| genes = 0.74,0.52,0.63,0.18,0.57,0.66,	|
| 	(1) 	| numero = 701 	| endr = 0067FE80 	| err = 1 	| 701 -> 702 	| genes = 0.74,0.52,0.63,0.89,0.21,0.18,	|
| 	(1) 	| numero = 702 	| endr = 0067FE80 	| err = 1 	| 702 -> 705 	| genes = 0.37,0.81,0.01,0.25,0.87,0.54,	|
| 	(1) 	| numero = 705 	| endr = 0067FE80 	| err = 1 	| 705 -> 706 	| genes = 0.37,0.81,0.01,0.40,0.53,0.73,	|
| 	(1) 	| numero = 706 	| endr = 0067FE80 	| err = 1 	| 706 -> 709 	| genes = 0.61,0.30,0.55,0.89,0.21,0.18,	|
| 	(1) 	| numero = 709 	| endr = 0067FE80 	| err = 1 	| 709 -> 710 	| genes = 0.61,0.30,0.55,0.21,0.98,0.70,	|
| 	(1) 	| numero = 710 	| endr = 0067FE80 	| err = 1 	| 710 -> 714 	| genes = 0.19,0.93,0.54,0.40,0.53,0.73,	|
| 	(1) 	| numero = 714 	| endr = 0067FE80 	| err = 1 	| 714 -> 717 	| genes = 0.00,0.87,0.09,0.21,0.98,0.70,	|
| 	(1) 	| numero = 717 	| endr = 0067FE80 	| err = 1 	| 717 -> 718 	| genes = 0.00,0.87,0.09,0.02,0.23,0.96,	|
| 	(1) 	| numero = 718 	| endr = 0067FE80 	| err = 1 	| 718 -> 721 	| genes = 0.03,0.61,0.94,0.18,0.40,0.22,	|
| 	(1) 	| numero = 721 	| endr = 0067FE80 	| err = 1 	| 721 -> 722 	| genes = 0.03,0.61,0.94,0.77,0.63,0.68,	|
| 	(1) 	| numero = 722 	| endr = 0067FE80 	| err = 1 	| 722 -> 725 	| genes = 0.70,0.60,0.96,0.02,0.23,0.96,	|
| 	(1) 	| numero = 725 	| endr = 0067FE80 	| err = 1 	| 725 -> 726 	| genes = 0.70,0.60,0.96,0.92,0.16,0.13,	|
| 	(1) 	| numero = 726 	| endr = 0067FE80 	| err = 1 	| 726 -> 729 	| genes = 0.53,0.89,0.40,0.77,0.63,0.68,	|
| 	(1) 	| numero = 729 	| endr = 0067FE80 	| err = 1 	| 729 -> 730 	| genes = 0.53,0.89,0.40,0.42,0.05,0.00,	|
| 	(1) 	| numero = 730 	| endr = 0067FE80 	| err = 1 	| 730 -> 733 	| genes = 0.07,0.84,0.41,0.92,0.16,0.13,	|
| 	(1) 	| numero = 733 	| endr = 0067FE80 	| err = 1 	| 733 -> 734 	| genes = 0.07,0.84,0.41,0.70,0.19,0.43,	|
| 	(1) 	| numero = 734 	| endr = 0067FE80 	| err = 1 	| 734 -> 742 	| genes = 1.00,0.77,0.87,0.42,0.05,0.00,	|
| 	(1) 	| numero = 742 	| endr = 0067FE80 	| err = 1 	| 742 -> 745 	| genes = 0.66,0.44,0.01,0.98,0.96,0.65,	|
| 	(1) 	| numero = 745 	| endr = 0067FE80 	| err = 1 	| 745 -> 749 	| genes = 0.66,0.44,0.01,0.20,0.73,0.58,	|
| 	(1) 	| numero = 749 	| endr = 0067FE80 	| err = 1 	| 749 -> 750 	| genes = 0.99,0.65,0.51,0.21,0.82,0.24,	|
| 	(1) 	| numero = 750 	| endr = 0067FE80 	| err = 1 	| 750 -> 753 	| genes = 0.28,0.31,0.21,0.20,0.73,0.58,	|
| 	(1) 	| numero = 753 	| endr = 0067FE80 	| err = 1 	| 753 -> 757 	| genes = 0.28,0.31,0.21,0.62,0.72,0.48,	|
| 	(1) 	| numero = 757 	| endr = 0067FE80 	| err = 1 	| 757 -> 758 	| genes = 0.99,0.81,0.96,0.42,0.11,0.68,	|
| 	(1) 	| numero = 758 	| endr = 0067FE80 	| err = 1 	| 758 -> 761 	| genes = 0.83,0.92,0.35,0.62,0.72,0.48,	|
| 	(1) 	| numero = 761 	| endr = 0067FE80 	| err = 1 	| 761 -> 762 	| genes = 0.83,0.92,0.35,0.64,0.85,0.35,	|
| 	(1) 	| numero = 762 	| endr = 0067FE80 	| err = 1 	| 762 -> 765 	| genes = 0.04,0.45,0.39,0.42,0.11,0.68,	|
| 	(1) 	| numero = 765 	| endr = 0067FE80 	| err = 1 	| 765 -> 766 	| genes = 0.04,0.45,0.39,0.89,0.33,0.34,	|
| 	(1) 	| numero = 766 	| endr = 0067FE80 	| err = 1 	| 766 -> 769 	| genes = 0.85,0.36,0.26,0.64,0.85,0.35,	|
| 	(1) 	| numero = 769 	| endr = 0067FE80 	| err = 1 	| 769 -> 770 	| genes = 0.85,0.36,0.26,0.21,0.82,0.92,	|
| 	(1) 	| numero = 770 	| endr = 0067FE80 	| err = 1 	| 770 -> 773 	| genes = 0.42,0.07,0.65,0.89,0.33,0.34,	|
| 	(1) 	| numero = 773 	| endr = 0067FE80 	| err = 1 	| 773 -> 777 	| genes = 0.42,0.07,0.65,0.96,0.44,0.59,	|
| 	(1) 	| numero = 777 	| endr = 0067FE80 	| err = 1 	| 777 -> 782 	| genes = 0.78,0.67,0.77,0.53,0.14,0.87,	|
| 	(1) 	| numero = 782 	| endr = 0067FE80 	| err = 1 	| 782 -> 785 	| genes = 0.37,0.20,0.13,0.53,0.14,0.87,	|
| 	(1) 	| numero = 785 	| endr = 0067FE80 	| err = 1 	| 785 -> 789 	| genes = 0.37,0.20,0.13,0.20,0.99,0.00,	|
| 	(1) 	| numero = 789 	| endr = 0067FE80 	| err = 1 	| 789 -> 794 	| genes = 0.65,0.79,0.35,0.51,0.44,0.68,	|
| 	(1) 	| numero = 794 	| endr = 0067FE80 	| err = 1 	| 794 -> 797 	| genes = 0.00,0.69,0.88,0.51,0.44,0.68,	|
| 	(1) 	| numero = 797 	| endr = 0067FE80 	| err = 1 	| 797 -> 798 	| genes = 0.00,0.69,0.88,0.95,0.96,0.07,	|
| 	(1) 	| numero = 798 	| endr = 0067FE80 	| err = 1 	| 798 -> 801 	| genes = 0.19,0.57,0.76,0.88,0.04,0.79,	|
| 	(1) 	| numero = 801 	| endr = 0067FE80 	| err = 1 	| 801 -> 802 	| genes = 0.19,0.57,0.76,0.33,0.53,0.15,	|
| 	(1) 	| numero = 802 	| endr = 0067FE80 	| err = 1 	| 802 -> 805 	| genes = 0.29,0.73,0.25,0.95,0.96,0.07,	|
| 	(1) 	| numero = 805 	| endr = 0067FE80 	| err = 1 	| 805 -> 806 	| genes = 0.29,0.73,0.25,0.60,0.40,0.57,	|
| 	(1) 	| numero = 806 	| endr = 0067FE80 	| err = 1 	| 806 -> 809 	| genes = 0.34,0.23,0.07,0.33,0.53,0.15,	|
| 	(1) 	| numero = 809 	| endr = 0067FE80 	| err = 1 	| 809 -> 810 	| genes = 0.34,0.23,0.07,0.24,0.43,0.37,	|
| 	(1) 	| numero = 810 	| endr = 0067FE80 	| err = 1 	| 810 -> 813 	| genes = 0.36,0.47,0.73,0.60,0.40,0.57,	|
| 	(1) 	| numero = 813 	| endr = 0067FE80 	| err = 1 	| 813 -> 814 	| genes = 0.36,0.47,0.73,0.68,0.20,0.19,	|
| 	(1) 	| numero = 814 	| endr = 0067FE80 	| err = 1 	| 814 -> 817 	| genes = 0.12,0.14,0.58,0.24,0.43,0.37,	|
| 	(1) 	| numero = 817 	| endr = 0067FE80 	| err = 1 	| 817 -> 818 	| genes = 0.12,0.14,0.58,0.08,0.52,0.42,	|
| 	(1) 	| numero = 818 	| endr = 0067FE80 	| err = 1 	| 818 -> 821 	| genes = 0.62,0.45,0.08,0.68,0.20,0.19,	|
| 	(1) 	| numero = 821 	| endr = 0067FE80 	| err = 1 	| 821 -> 822 	| genes = 0.62,0.45,0.08,0.03,0.72,0.59,	|
| 	(1) 	| numero = 822 	| endr = 0067FE80 	| err = 1 	| 822 -> 825 	| genes = 0.75,0.04,0.63,0.08,0.52,0.42,	|
| 	(1) 	| numero = 825 	| endr = 0067FE80 	| err = 1 	| 825 -> 826 	| genes = 0.75,0.04,0.63,0.49,0.52,0.84,	|
| 	(1) 	| numero = 826 	| endr = 0067FE80 	| err = 1 	| 826 -> 829 	| genes = 0.22,0.64,0.14,0.03,0.72,0.59,	|
| 	(1) 	| numero = 829 	| endr = 0067FE80 	| err = 1 	| 829 -> 833 	| genes = 0.22,0.64,0.14,0.87,0.54,0.67,	|
| 	(1) 	| numero = 833 	| endr = 0067FE80 	| err = 1 	| 833 -> 834 	| genes = 0.71,0.41,0.31,0.06,0.72,0.02,	|
| 	(1) 	| numero = 834 	| endr = 0067FE80 	| err = 1 	| 834 -> 837 	| genes = 0.42,0.27,0.15,0.87,0.54,0.67,	|
| 	(1) 	| numero = 837 	| endr = 0067FE80 	| err = 1 	| 837 -> 842 	| genes = 0.42,0.27,0.15,0.82,0.11,0.31,	|
| 	(1) 	| numero = 842 	| endr = 0067FE80 	| err = 1 	| 842 -> 845 	| genes = 0.58,0.53,0.26,0.82,0.11,0.31,	|
| 	(1) 	| numero = 845 	| endr = 0067FE80 	| err = 1 	| 845 -> 850 	| genes = 0.58,0.53,0.26,0.34,0.01,0.21,	|
| 	(1) 	| numero = 850 	| endr = 0067FE80 	| err = 1 	| 850 -> 853 	| genes = 0.67,0.37,0.58,0.34,0.01,0.21,	|
| 	(1) 	| numero = 853 	| endr = 0067FE80 	| err = 1 	| 853 -> 854 	| genes = 0.67,0.37,0.58,0.21,0.27,0.49,	|
| 	(1) 	| numero = 854 	| endr = 0067FE80 	| err = 1 	| 854 -> 857 	| genes = 0.07,0.81,0.22,0.94,0.80,0.03,	|
| 	(1) 	| numero = 857 	| endr = 0067FE80 	| err = 1 	| 857 -> 858 	| genes = 0.07,0.81,0.22,0.41,0.59,0.84,	|
| 	(1) 	| numero = 858 	| endr = 0067FE80 	| err = 1 	| 858 -> 861 	| genes = 0.85,0.69,0.75,0.21,0.27,0.49,	|
| 	(1) 	| numero = 861 	| endr = 0067FE80 	| err = 1 	| 861 -> 862 	| genes = 0.85,0.69,0.75,0.32,0.01,0.52,	|
| 	(1) 	| numero = 862 	| endr = 0067FE80 	| err = 1 	| 862 -> 865 	| genes = 0.43,0.24,0.75,0.41,0.59,0.84,	|
| 	(1) 	| numero = 865 	| endr = 0067FE80 	| err = 1 	| 865 -> 866 	| genes = 0.43,0.24,0.75,0.01,0.70,0.35,	|
| 	(1) 	| numero = 866 	| endr = 0067FE80 	| err = 1 	| 866 -> 869 	| genes = 0.48,0.89,0.78,0.32,0.01,0.52,	|
| 	(1) 	| numero = 869 	| endr = 0067FE80 	| err = 1 	| 869 -> 870 	| genes = 0.48,0.89,0.78,0.64,0.57,0.26,	|
| 	(1) 	| numero = 870 	| endr = 0067FE80 	| err = 1 	| 870 -> 873 	| genes = 0.61,0.46,0.13,0.01,0.70,0.35,	|
| 	(1) 	| numero = 873 	| endr = 0067FE80 	| err = 1 	| 873 -> 878 	| genes = 0.61,0.46,0.13,1.00,0.23,0.06,	|
| 	(1) 	| numero = 878 	| endr = 0067FE80 	| err = 1 	| 878 -> 881 	| genes = 0.35,0.16,0.08,1.00,0.23,0.06,	|
| 	(1) 	| numero = 881 	| endr = 0067FE80 	| err = 1 	| 881 -> 882 	| genes = 0.35,0.16,0.08,0.24,0.83,0.70,	|
| 	(1) 	| numero = 882 	| endr = 0067FE80 	| err = 1 	| 882 -> 885 	| genes = 0.60,0.35,0.33,0.76,0.04,0.75,	|
| 	(1) 	| numero = 885 	| endr = 0067FE80 	| err = 1 	| 885 -> 886 	| genes = 0.60,0.35,0.33,0.34,0.57,0.00,	|
| 	(1) 	| numero = 886 	| endr = 0067FE80 	| err = 1 	| 886 -> 889 	| genes = 0.06,0.26,0.23,0.24,0.83,0.70,	|
| 	(1) 	| numero = 889 	| endr = 0067FE80 	| err = 1 	| 889 -> 890 	| genes = 0.06,0.26,0.23,0.98,0.40,0.89,	|
| 	(1) 	| numero = 890 	| endr = 0067FE80 	| err = 1 	| 890 -> 893 	| genes = 0.84,0.31,0.25,0.34,0.57,0.00,	|
| 	(1) 	| numero = 893 	| endr = 0067FE80 	| err = 1 	| 893 -> 894 	| genes = 0.84,0.31,0.25,0.81,0.79,0.04,	|
| 	(1) 	| numero = 894 	| endr = 0067FE80 	| err = 1 	| 894 -> 897 	| genes = 0.70,0.20,0.33,0.98,0.40,0.89,	|
| 	(1) 	| numero = 897 	| endr = 0067FE80 	| err = 1 	| 897 -> 898 	| genes = 0.70,0.20,0.33,0.30,0.33,0.13,	|
| 	(1) 	| numero = 898 	| endr = 0067FE80 	| err = 1 	| 898 -> 9 	| genes = 0.91,0.19,0.26,0.81,0.79,0.04,	|
| 	(1) 	| numero = 9 	| endr = 0067FE80 	| err = 2 	| 9 -> 10 	| genes = 0.86,0.69,0.64,0.77,0.58,0.85,	|
| 	(1) 	| numero = 10 	| endr = 0067FE80 	| err = 2 	| 10 -> 76 	| genes = 0.95,0.99,0.20,0.49,0.81,0.99,	|
| 	(1) 	| numero = 76 	| endr = 0067FE80 	| err = 2 	| 76 -> 78 	| genes = 0.61,0.63,0.98,0.59,0.91,0.32,	|
| 	(1) 	| numero = 78 	| endr = 0067FE80 	| err = 2 	| 78 -> 89 	| genes = 0.96,1.00,0.82,0.98,0.34,0.63,	|
| 	(1) 	| numero = 89 	| endr = 0067FE80 	| err = 2 	| 89 -> 91 	| genes = 0.94,0.99,0.98,0.14,0.97,0.97,	|
| 	(1) 	| numero = 91 	| endr = 0067FE80 	| err = 2 	| 91 -> 97 	| genes = 0.82,0.89,0.24,0.13,0.97,0.88,	|
| 	(1) 	| numero = 97 	| endr = 0067FE80 	| err = 2 	| 97 -> 101 	| genes = 0.68,0.47,0.89,0.00,0.68,0.15,	|
| 	(1) 	| numero = 101 	| endr = 0067FE80 	| err = 2 	| 101 -> 107 	| genes = 0.74,0.52,0.63,0.25,0.87,0.54,	|
| 	(1) 	| numero = 107 	| endr = 0067FE80 	| err = 2 	| 107 -> 110 	| genes = 0.70,0.60,0.96,0.77,0.63,0.68,	|
| 	(1) 	| numero = 110 	| endr = 0067FE80 	| err = 2 	| 110 -> 115 	| genes = 1.00,0.77,0.87,0.70,0.19,0.43,	|
| 	(1) 	| numero = 115 	| endr = 0067FE80 	| err = 2 	| 115 -> 120 	| genes = 0.99,0.81,0.96,0.62,0.72,0.48,	|
| 	(1) 	| numero = 120 	| endr = 0067FE80 	| err = 2 	| 120 -> 132 	| genes = 0.78,0.67,0.77,0.96,0.44,0.59,	|
| 	(1) 	| numero = 132 	| endr = 0067FE80 	| err = 2 	| 132 -> 157 	| genes = 0.75,0.04,0.63,0.03,0.72,0.59,	|
| 	(1) 	| numero = 157 	| endr = 0067FE80 	| err = 2 	| 157 -> 161 	| genes = 0.90,0.88,0.83,0.31,0.91,0.06,	|
| 	(1) 	| numero = 161 	| endr = 0067FE80 	| err = 2 	| 161 -> 162 	| genes = 0.97,0.40,0.67,0.60,0.41,0.73,	|
| 	(1) 	| numero = 162 	| endr = 0067FE80 	| err = 2 	| 162 -> 164 	| genes = 0.77,0.12,0.64,0.13,0.67,0.93,	|
| 	(1) 	| numero = 164 	| endr = 0067FE80 	| err = 2 	| 164 -> 165 	| genes = 0.74,0.53,0.95,0.52,0.91,0.81,	|
| 	(1) 	| numero = 165 	| endr = 0067FE80 	| err = 2 	| 165 -> 171 	| genes = 0.90,0.88,0.83,0.84,0.44,0.59,	|
| 	(1) 	| numero = 171 	| endr = 0067FE80 	| err = 2 	| 171 -> 173 	| genes = 0.80,0.97,0.74,0.72,0.45,0.76,	|
| 	(1) 	| numero = 173 	| endr = 0067FE80 	| err = 2 	| 173 -> 182 	| genes = 0.91,0.74,0.81,0.79,0.92,0.23,	|
| 	(1) 	| numero = 182 	| endr = 0067FE80 	| err = 2 	| 182 -> 189 	| genes = 0.95,0.24,0.67,0.76,0.26,0.45,	|
| 	(1) 	| numero = 189 	| endr = 0067FE80 	| err = 2 	| 189 -> 213 	| genes = 0.65,0.27,0.88,0.30,0.90,0.07,	|
| 	(1) 	| numero = 213 	| endr = 0067FE80 	| err = 2 	| 213 -> 221 	| genes = 0.87,0.15,0.61,0.16,0.79,0.34,	|
| 	(1) 	| numero = 221 	| endr = 0067FE80 	| err = 2 	| 221 -> 227 	| genes = 0.89,0.51,0.69,0.67,0.75,0.15,	|
| 	(1) 	| numero = 227 	| endr = 0067FE80 	| err = 2 	| 227 -> 229 	| genes = 0.87,0.47,0.69,0.02,0.96,0.45,	|
| 	(1) 	| numero = 229 	| endr = 0067FE80 	| err = 2 	| 229 -> 238 	| genes = 0.84,0.91,0.58,0.77,0.43,0.95,	|
| 	(1) 	| numero = 238 	| endr = 0067FE80 	| err = 2 	| 238 -> 247 	| genes = 0.67,0.15,0.68,0.88,0.92,0.94,	|
| 	(1) 	| numero = 247 	| endr = 0067FE80 	| err = 2 	| 247 -> 255 	| genes = 1.00,0.24,0.88,0.67,0.46,0.88,	|
| 	(1) 	| numero = 255 	| endr = 0067FE80 	| err = 2 	| 255 -> 276 	| genes = 0.71,0.55,0.73,1.00,0.58,0.51,	|
| 	(1) 	| numero = 276 	| endr = 0067FE80 	| err = 2 	| 276 -> 277 	| genes = 0.77,0.18,0.74,0.61,0.81,0.56,	|
| 	(1) 	| numero = 277 	| endr = 0067FE80 	| err = 2 	| 277 -> 280 	| genes = 0.94,0.67,0.12,0.86,0.25,0.85,	|
| 	(1) 	| numero = 280 	| endr = 0067FE80 	| err = 2 	| 280 -> 310 	| genes = 0.86,0.69,0.86,0.07,0.84,0.13,	|
| 	(1) 	| numero = 310 	| endr = 0067FE80 	| err = 2 	| 310 -> 313 	| genes = 0.73,0.49,0.93,0.91,0.70,1.00,	|
| 	(1) 	| numero = 313 	| endr = 0067FE80 	| err = 2 	| 313 -> 318 	| genes = 0.73,0.49,0.93,1.00,0.08,0.79,	|
| 	(1) 	| numero = 318 	| endr = 0067FE80 	| err = 2 	| 318 -> 333 	| genes = 0.87,0.61,0.36,1.00,0.08,0.79,	|
| 	(1) 	| numero = 333 	| endr = 0067FE80 	| err = 2 	| 333 -> 334 	| genes = 0.86,0.69,0.64,0.49,0.81,0.99,	|
| 	(1) 	| numero = 334 	| endr = 0067FE80 	| err = 2 	| 334 -> 401 	| genes = 0.95,0.99,0.20,0.77,0.58,0.85,	|
| 	(1) 	| numero = 401 	| endr = 0067FE80 	| err = 2 	| 401 -> 450 	| genes = 0.82,0.22,0.92,0.64,0.96,0.09,	|
| 	(1) 	| numero = 450 	| endr = 0067FE80 	| err = 2 	| 450 -> 457 	| genes = 0.81,0.24,0.80,0.83,0.74,0.34,	|
| 	(1) 	| numero = 457 	| endr = 0067FE80 	| err = 2 	| 457 -> 462 	| genes = 0.77,0.44,0.62,1.00,0.94,0.22,	|
| 	(1) 	| numero = 462 	| endr = 0067FE80 	| err = 2 	| 462 -> 465 	| genes = 0.61,0.09,0.87,1.00,0.94,0.22,	|
| 	(1) 	| numero = 465 	| endr = 0067FE80 	| err = 2 	| 465 -> 526 	| genes = 0.61,0.09,0.87,0.33,0.93,0.37,	|
| 	(1) 	| numero = 526 	| endr = 0067FE80 	| err = 2 	| 526 -> 529 	| genes = 1.00,0.22,0.63,0.80,0.60,0.86,	|
| 	(1) 	| numero = 529 	| endr = 0067FE80 	| err = 2 	| 529 -> 590 	| genes = 1.00,0.22,0.63,0.72,0.59,0.64,	|
| 	(1) 	| numero = 590 	| endr = 0067FE80 	| err = 2 	| 590 -> 593 	| genes = 0.67,0.32,0.80,0.36,0.81,0.86,	|
| 	(1) 	| numero = 593 	| endr = 0067FE80 	| err = 2 	| 593 -> 598 	| genes = 0.67,0.32,0.80,0.86,0.71,0.60,	|
| 	(1) 	| numero = 598 	| endr = 0067FE80 	| err = 2 	| 598 -> 650 	| genes = 0.61,0.63,0.98,0.86,0.71,0.60,	|
| 	(1) 	| numero = 650 	| endr = 0067FE80 	| err = 2 	| 650 -> 653 	| genes = 0.94,0.99,0.98,0.83,0.23,0.44,	|
| 	(1) 	| numero = 653 	| endr = 0067FE80 	| err = 2 	| 653 -> 674 	| genes = 0.94,0.99,0.98,0.48,0.98,0.45,	|
| 	(1) 	| numero = 674 	| endr = 0067FE80 	| err = 2 	| 674 -> 682 	| genes = 0.87,0.85,0.12,0.06,0.86,0.63,	|
| 	(1) 	| numero = 682 	| endr = 0067FE80 	| err = 2 	| 682 -> 685 	| genes = 0.68,0.47,0.89,0.57,0.97,0.50,	|
| 	(1) 	| numero = 685 	| endr = 0067FE80 	| err = 2 	| 685 -> 694 	| genes = 0.68,0.47,0.89,0.83,0.84,0.29,	|
